Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
brother,2023-10-09 22:55:26,00:00:03,,Quarterback: Season 1: Roller Coaster (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:10:57,00:10:57,US (United States)
brother,2023-10-09 05:37:06,00:41:57,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Hard Truths (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:19,00:41:19,US (United States)
brother,2023-10-07 22:35:53,00:00:42,Autoplayed: user action: None; ,Super Pumped: Season 1_hook_04_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:42,00:00:42,US (United States)
brother,2023-10-07 03:08:23,00:30:59,Autoplayed: user action: None; ,Suits: Season 7: Hard Truths (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:32:23,Not latest view,US (United States)
brother,2023-10-07 03:05:25,00:02:28,,Suits: Season 7: Donna (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:43,00:44:43,US (United States)
brother,2023-10-06 04:58:33,00:06:03,,Suits: Season 7: Donna (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:37,Not latest view,US (United States)
brother,2023-10-05 19:20:28,00:10:42,,Suits: Season 7: Donna (Episode 10),,Apple iPhone 14 Pro iPhone,00:40:04,Not latest view,US (United States)
brother,2023-10-05 05:30:59,00:36:13,,Suits: Season 7: Donna (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:29:21,Not latest view,US (United States)
brother,2023-10-05 05:22:45,00:07:23,,Suits: Season 7: Shame (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:30,00:42:30,US (United States)
brother,2023-10-05 05:21:49,00:00:06,,Suits: Season 7: Donna (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:01,Not latest view,US (United States)
brother,2023-10-05 01:24:40,00:35:44,,Suits: Season 7: Donna (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:36:47,Not latest view,US (United States)
brother,2023-10-05 00:38:21,00:41:36,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Shame (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:31,Not latest view,US (United States)
brother,2023-10-04 23:55:46,00:42:32,Autoplayed: user action: User_Interaction; ,Suits: Season 7: 100 (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:11,00:44:11,US (United States)
brother,2023-10-03 04:29:35,00:00:14,Autoplayed: user action: User_Interaction; ,Suits: Season 7: 100 (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:19,Not latest view,US (United States)
brother,2023-10-03 03:41:04,00:41:24,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Full Disclosure (Episode 7),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:45,00:42:45,US (United States)
brother,2023-10-03 03:13:18,00:27:44,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Home to Roost (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:37,00:41:37,US (United States)
brother,2023-10-01 05:55:24,00:12:50,,Suits: Season 7: Home to Roost (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:13:55,Not latest view,US (United States)
brother,2023-10-01 05:09:24,00:41:50,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Brooklyn Housing (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:45,00:42:45,US (United States)
brother,2023-10-01 05:05:38,00:03:43,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Divide and Conquer (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:32,00:41:32,US (United States)
brother,2023-10-01 02:06:03,00:36:49,,Suits: Season 7: Divide and Conquer (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:37:54,Not latest view,US (United States)
brother,2023-10-01 01:26:00,00:40:00,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Mudmare (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:37,00:41:37,US (United States)
brother,2023-10-01 00:45:50,00:40:08,,Suits: Season 7: The Statue (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:14,00:41:14,US (United States)
brother,2023-10-01 00:11:31,00:34:13,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Skin in the Game (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:59,00:44:59,US (United States)
brother,2023-09-30 21:12:31,00:11:38,,Suits: Season 7: Skin in the Game (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:11:08,Not latest view,US (United States)
brother,2023-09-30 21:06:41,00:05:07,,Suits: Season 6: Character and Fitness (Episode 16),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:43:44,00:43:44,US (United States)
brother,2023-09-30 07:37:21,00:49:10,Autoplayed: user action: User_Interaction; ,Suits: Season 6: Character and Fitness (Episode 16),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:43:41,Not latest view,US (United States)
brother,2023-09-30 07:08:47,00:26:16,,Suits: Season 6: Quid Pro Quo (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:40:58,00:40:58,US (United States)
brother,2023-09-30 04:39:40,00:00:08,Autoplayed: user action: None; ,Murdaugh Murders: A Southern Scandal: Season 1: Where Is Mallory? (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:08,00:00:08,US (United States)
brother,2023-09-30 00:33:24,00:18:44,Autoplayed: user action: User_Interaction; ,Suits: Season 6: Quid Pro Quo (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:18:02,Not latest view,US (United States)
